name,raw,category,processed,priority,target,note,label
__Ansible_RHEL_9_x_70GA-2_logs_failed_tasks_log.0,"2021-12-08 09:31:44,008 | Failed at Play [deploy_vm_bios_paravirtual_e1000e] *********
2021-12-08 09:31:44,008 | TASK [Create unattend config file from template] ***********
task path: /home/worker/workspace/Ansible_RHEL_9.x_70GA/ansible-vsphere-gos-validation/linux/deploy_vm/create_unattend_install_iso.yml:49
If you are using a module and expect the file to exist on the remote, see the remote_src option
fatal: [localhost]: FAILED! => Could not find or access '/home/worker/workspace/Ansible_RHEL_9.x_70GA/ansible-vsphere-gos-validation/autoinstall/RHEL/9/server_with_GUI/ks.cfg' on the Ansible Controller.
If you are using a module and expect the file to exist on the remote, see the remote_src option
2021-12-08 09:32:17,008 | TASK [Exit testing when exit_testing_when_fail is set True] 
task path: /home/worker/workspace/Ansible_RHEL_9.x_70GA/ansible-vsphere-gos-validation/linux/setup/test_rescue.yml:52
fatal: [localhost]: FAILED! => Failed to run test case deploy_vm_bios_paravirtual_e1000e",on_the_ansible_controller,"timestamp failed at play deploy vm bios para virtual
timestamp task create un attend configuration file from template
task path home worker workspace ansible rhel 9 x 70ga ansible vsphere gos validation linux deploy vm create un attend install iso yml 49
if you are using a module and expect the file to exist on the remote see the remote source option
fatal localhost failed could not find or access home worker workspace ansible rhel 9 x 70ga ansible vsphere gos validation auto install rhel 9 server with gui ks configuration on the ansible controller
if you are using a module and expect the file to exist on the remote see the remote source option
timestamp task exit testing when exit testing when fail is set true
task path home worker workspace ansible rhel 9 x 70ga ansible vsphere gos validation linux setup test rescue yml 52
fatal localhost failed failed to run test case deploy vm bios para virtual e1000e
",deepdive,test-relevant,,deepdive.test-relevant
__Ansible_RHEL_9_x_70U1-1_logs_failed_tasks_log.0,"2021-12-08 09:01:49,008 | Failed at Play [deploy_vm_bios_nvme_vmxnet3] ***************
2021-12-08 09:01:49,008 | TASK [Create unattend config file from template] ***********
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U1/ansible-vsphere-gos-validation/linux/deploy_vm/create_unattend_install_iso.yml:49
If you are using a module and expect the file to exist on the remote, see the remote_src option
fatal: [localhost]: FAILED! => Could not find or access '/home/worker/workspace/Ansible_RHEL_9.x_70U1/ansible-vsphere-gos-validation/autoinstall/RHEL/9/server_with_GUI/ks.cfg' on the Ansible Controller.
If you are using a module and expect the file to exist on the remote, see the remote_src option
2021-12-08 09:02:20,008 | TASK [Exit testing when exit_testing_when_fail is set True] 
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U1/ansible-vsphere-gos-validation/linux/setup/test_rescue.yml:52
fatal: [localhost]: FAILED! => Failed to run test case deploy_vm_bios_nvme_vmxnet3",on_the_ansible_controller,"timestamp failed at play deploy vm bios nvme vmxnet 3
timestamp task create un attend configuration file from template
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux deploy vm create un attend install iso yml 49
if you are using a module and expect the file to exist on the remote see the remote source option
fatal localhost failed could not find or access home worker workspace ansible rhel 9 x ansible vsphere gos validation auto install rhel 9 server with gui ks configuration on the ansible controller
if you are using a module and expect the file to exist on the remote see the remote source option
timestamp task exit testing when exit testing when fail is set true
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux setup test rescue yml 52
fatal localhost failed failed to run test case deploy vm bios nvme vmxnet 3
",deepdive,test-relevant,,deepdive.test-relevant
__Ansible_RHEL_9_x_70GA-1_logs_failed_tasks_log.0,"2021-12-08 09:04:39,008 | Failed at Play [deploy_vm_bios_paravirtual_e1000e] *********
2021-12-08 09:04:39,008 | TASK [Create unattend config file from template] ***********
task path: /home/worker/workspace/Ansible_RHEL_9.x_70GA/ansible-vsphere-gos-validation/linux/deploy_vm/create_unattend_install_iso.yml:49
If you are using a module and expect the file to exist on the remote, see the remote_src option
fatal: [localhost]: FAILED! => Could not find or access '/home/worker/workspace/Ansible_RHEL_9.x_70GA/ansible-vsphere-gos-validation/autoinstall/RHEL/9/server_with_GUI/ks.cfg' on the Ansible Controller.
If you are using a module and expect the file to exist on the remote, see the remote_src option
2021-12-08 09:05:11,008 | TASK [Exit testing when exit_testing_when_fail is set True] 
task path: /home/worker/workspace/Ansible_RHEL_9.x_70GA/ansible-vsphere-gos-validation/linux/setup/test_rescue.yml:52
fatal: [localhost]: FAILED! => Failed to run test case deploy_vm_bios_paravirtual_e1000e",on_the_ansible_controller,"timestamp failed at play deploy vm bios para virtual
timestamp task create un attend configuration file from template
task path home worker workspace ansible rhel 9 x 70ga ansible vsphere gos validation linux deploy vm create un attend install iso yml 49
if you are using a module and expect the file to exist on the remote see the remote source option
fatal localhost failed could not find or access home worker workspace ansible rhel 9 x 70ga ansible vsphere gos validation auto install rhel 9 server with gui ks configuration on the ansible controller
if you are using a module and expect the file to exist on the remote see the remote source option
timestamp task exit testing when exit testing when fail is set true
task path home worker workspace ansible rhel 9 x 70ga ansible vsphere gos validation linux setup test rescue yml 52
fatal localhost failed failed to run test case deploy vm bios para virtual e1000e
",deepdive,test-relevant,,deepdive.test-relevant
__Ansible_RHEL_9_x_70U2-2_logs_failed_tasks_log.0,"2021-12-08 09:31:42,008 | Failed at Play [deploy_vm_efi_sata_vmxnet3] ****************
2021-12-08 09:31:42,008 | TASK [Create unattend config file from template] ***********
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U2/ansible-vsphere-gos-validation/linux/deploy_vm/create_unattend_install_iso.yml:49
If you are using a module and expect the file to exist on the remote, see the remote_src option
fatal: [localhost]: FAILED! => Could not find or access '/home/worker/workspace/Ansible_RHEL_9.x_70U2/ansible-vsphere-gos-validation/autoinstall/RHEL/9/server_with_GUI/ks.cfg' on the Ansible Controller.
If you are using a module and expect the file to exist on the remote, see the remote_src option
2021-12-08 09:32:14,008 | TASK [Exit testing when exit_testing_when_fail is set True] 
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U2/ansible-vsphere-gos-validation/linux/setup/test_rescue.yml:52
fatal: [localhost]: FAILED! => Failed to run test case deploy_vm_efi_sata_vmxnet3",on_the_ansible_controller,"timestamp failed at play deploy vm efi sata vmxnet 3
timestamp task create un attend configuration file from template
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux deploy vm create un attend install iso yml 49
if you are using a module and expect the file to exist on the remote see the remote source option
fatal localhost failed could not find or access home worker workspace ansible rhel 9 x ansible vsphere gos validation auto install rhel 9 server with gui ks configuration on the ansible controller
if you are using a module and expect the file to exist on the remote see the remote source option
timestamp task exit testing when exit testing when fail is set true
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux setup test rescue yml 52
fatal localhost failed failed to run test case deploy vm efi sata vmxnet 3
",deepdive,test-relevant,,deepdive.test-relevant
__Ansible_RHEL_9_x_70U3-1_logs_failed_tasks_log.0,"2021-12-08 09:24:54,008 | Failed at Play [deploy_vm_efi_paravirtual_e1000e] **********
2021-12-08 09:24:54,008 | TASK [Create unattend config file from template] ***********
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U3/ansible-vsphere-gos-validation/linux/deploy_vm/create_unattend_install_iso.yml:49
If you are using a module and expect the file to exist on the remote, see the remote_src option
fatal: [localhost]: FAILED! => Could not find or access '/home/worker/workspace/Ansible_RHEL_9.x_70U3/ansible-vsphere-gos-validation/autoinstall/RHEL/9/server_with_GUI/ks.cfg' on the Ansible Controller.
If you are using a module and expect the file to exist on the remote, see the remote_src option
2021-12-08 09:25:26,008 | TASK [Exit testing when exit_testing_when_fail is set True] 
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U3/ansible-vsphere-gos-validation/linux/setup/test_rescue.yml:52
fatal: [localhost]: FAILED! => Failed to run test case deploy_vm_efi_paravirtual_e1000e",on_the_ansible_controller,"timestamp failed at play deploy vm efi para virtual
timestamp task create un attend configuration file from template
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux deploy vm create un attend install iso yml 49
if you are using a module and expect the file to exist on the remote see the remote source option
fatal localhost failed could not find or access home worker workspace ansible rhel 9 x ansible vsphere gos validation auto install rhel 9 server with gui ks configuration on the ansible controller
if you are using a module and expect the file to exist on the remote see the remote source option
timestamp task exit testing when exit testing when fail is set true
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux setup test rescue yml 52
fatal localhost failed failed to run test case deploy vm efi para virtual e1000e
",deepdive,test-relevant,,deepdive.test-relevant
__Ansible_RHEL_9_x_70GA-2_logs_failed_tasks_log.0,"2021-12-08 09:31:44,008 | Failed at Play [deploy_vm_bios_paravirtual_e1000e] *********
2021-12-08 09:31:44,008 | TASK [Create unattend config file from template] ***********
task path: /home/worker/workspace/Ansible_RHEL_9.x_70GA/ansible-vsphere-gos-validation/linux/deploy_vm/create_unattend_install_iso.yml:49
If you are using a module and expect the file to exist on the remote, see the remote_src option
fatal: [localhost]: FAILED! => Could not find or access '/home/worker/workspace/Ansible_RHEL_9.x_70GA/ansible-vsphere-gos-validation/autoinstall/RHEL/9/server_with_GUI/ks.cfg' on the Ansible Controller.
If you are using a module and expect the file to exist on the remote, see the remote_src option
2021-12-08 09:32:17,008 | TASK [Exit testing when exit_testing_when_fail is set True] 
task path: /home/worker/workspace/Ansible_RHEL_9.x_70GA/ansible-vsphere-gos-validation/linux/setup/test_rescue.yml:52
fatal: [localhost]: FAILED! => Failed to run test case deploy_vm_bios_paravirtual_e1000e",on_the_ansible_controller,"timestamp failed at play deploy vm bios para virtual
timestamp task create un attend configuration file from template
task path home worker workspace ansible rhel 9 x 70ga ansible vsphere gos validation linux deploy vm create un attend install iso yml 49
if you are using a module and expect the file to exist on the remote see the remote source option
fatal localhost failed could not find or access home worker workspace ansible rhel 9 x 70ga ansible vsphere gos validation auto install rhel 9 server with gui ks configuration on the ansible controller
if you are using a module and expect the file to exist on the remote see the remote source option
timestamp task exit testing when exit testing when fail is set true
task path home worker workspace ansible rhel 9 x 70ga ansible vsphere gos validation linux setup test rescue yml 52
fatal localhost failed failed to run test case deploy vm bios para virtual e1000e
",deepdive,test-relevant,,deepdive.test-relevant
__Ansible_RHEL_9_x_70U1-1_logs_failed_tasks_log.0,"2021-12-08 09:01:49,008 | Failed at Play [deploy_vm_bios_nvme_vmxnet3] ***************
2021-12-08 09:01:49,008 | TASK [Create unattend config file from template] ***********
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U1/ansible-vsphere-gos-validation/linux/deploy_vm/create_unattend_install_iso.yml:49
If you are using a module and expect the file to exist on the remote, see the remote_src option
fatal: [localhost]: FAILED! => Could not find or access '/home/worker/workspace/Ansible_RHEL_9.x_70U1/ansible-vsphere-gos-validation/autoinstall/RHEL/9/server_with_GUI/ks.cfg' on the Ansible Controller.
If you are using a module and expect the file to exist on the remote, see the remote_src option
2021-12-08 09:02:20,008 | TASK [Exit testing when exit_testing_when_fail is set True] 
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U1/ansible-vsphere-gos-validation/linux/setup/test_rescue.yml:52
fatal: [localhost]: FAILED! => Failed to run test case deploy_vm_bios_nvme_vmxnet3",on_the_ansible_controller,"timestamp failed at play deploy vm bios nvme vmxnet 3
timestamp task create un attend configuration file from template
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux deploy vm create un attend install iso yml 49
if you are using a module and expect the file to exist on the remote see the remote source option
fatal localhost failed could not find or access home worker workspace ansible rhel 9 x ansible vsphere gos validation auto install rhel 9 server with gui ks configuration on the ansible controller
if you are using a module and expect the file to exist on the remote see the remote source option
timestamp task exit testing when exit testing when fail is set true
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux setup test rescue yml 52
fatal localhost failed failed to run test case deploy vm bios nvme vmxnet 3
",deepdive,test-relevant,,deepdive.test-relevant
__Ansible_RHEL_9_x_70U2-1_logs_failed_tasks_log.0,"2021-12-08 09:11:40,008 | Failed at Play [deploy_vm_efi_sata_vmxnet3] ****************
2021-12-08 09:11:40,008 | TASK [Create unattend config file from template] ***********
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U2/ansible-vsphere-gos-validation/linux/deploy_vm/create_unattend_install_iso.yml:49
If you are using a module and expect the file to exist on the remote, see the remote_src option
fatal: [localhost]: FAILED! => Could not find or access '/home/worker/workspace/Ansible_RHEL_9.x_70U2/ansible-vsphere-gos-validation/autoinstall/RHEL/9/server_with_GUI/ks.cfg' on the Ansible Controller.
If you are using a module and expect the file to exist on the remote, see the remote_src option
2021-12-08 09:12:10,008 | TASK [Exit testing when exit_testing_when_fail is set True] 
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U2/ansible-vsphere-gos-validation/linux/setup/test_rescue.yml:52
fatal: [localhost]: FAILED! => Failed to run test case deploy_vm_efi_sata_vmxnet3",on_the_ansible_controller,"timestamp failed at play deploy vm efi sata vmxnet 3
timestamp task create un attend configuration file from template
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux deploy vm create un attend install iso yml 49
if you are using a module and expect the file to exist on the remote see the remote source option
fatal localhost failed could not find or access home worker workspace ansible rhel 9 x ansible vsphere gos validation auto install rhel 9 server with gui ks configuration on the ansible controller
if you are using a module and expect the file to exist on the remote see the remote source option
timestamp task exit testing when exit testing when fail is set true
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux setup test rescue yml 52
fatal localhost failed failed to run test case deploy vm efi sata vmxnet 3
",deepdive,test-relevant,,deepdive.test-relevant
__Ansible_RHEL_9_x_70U3-1_logs_failed_tasks_log.0,"2021-12-08 09:24:54,008 | Failed at Play [deploy_vm_efi_paravirtual_e1000e] **********
2021-12-08 09:24:54,008 | TASK [Create unattend config file from template] ***********
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U3/ansible-vsphere-gos-validation/linux/deploy_vm/create_unattend_install_iso.yml:49
If you are using a module and expect the file to exist on the remote, see the remote_src option
fatal: [localhost]: FAILED! => Could not find or access '/home/worker/workspace/Ansible_RHEL_9.x_70U3/ansible-vsphere-gos-validation/autoinstall/RHEL/9/server_with_GUI/ks.cfg' on the Ansible Controller.
If you are using a module and expect the file to exist on the remote, see the remote_src option
2021-12-08 09:25:26,008 | TASK [Exit testing when exit_testing_when_fail is set True] 
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U3/ansible-vsphere-gos-validation/linux/setup/test_rescue.yml:52
fatal: [localhost]: FAILED! => Failed to run test case deploy_vm_efi_paravirtual_e1000e",on_the_ansible_controller,"timestamp failed at play deploy vm efi para virtual
timestamp task create un attend configuration file from template
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux deploy vm create un attend install iso yml 49
if you are using a module and expect the file to exist on the remote see the remote source option
fatal localhost failed could not find or access home worker workspace ansible rhel 9 x ansible vsphere gos validation auto install rhel 9 server with gui ks configuration on the ansible controller
if you are using a module and expect the file to exist on the remote see the remote source option
timestamp task exit testing when exit testing when fail is set true
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux setup test rescue yml 52
fatal localhost failed failed to run test case deploy vm efi para virtual e1000e
",deepdive,test-relevant,,deepdive.test-relevant
__Ansible_RHEL_9_x_70U2-2_logs_failed_tasks_log.0,"2021-12-08 09:31:42,008 | Failed at Play [deploy_vm_efi_sata_vmxnet3] ****************
2021-12-08 09:31:42,008 | TASK [Create unattend config file from template] ***********
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U2/ansible-vsphere-gos-validation/linux/deploy_vm/create_unattend_install_iso.yml:49
If you are using a module and expect the file to exist on the remote, see the remote_src option
fatal: [localhost]: FAILED! => Could not find or access '/home/worker/workspace/Ansible_RHEL_9.x_70U2/ansible-vsphere-gos-validation/autoinstall/RHEL/9/server_with_GUI/ks.cfg' on the Ansible Controller.
If you are using a module and expect the file to exist on the remote, see the remote_src option
2021-12-08 09:32:14,008 | TASK [Exit testing when exit_testing_when_fail is set True] 
task path: /home/worker/workspace/Ansible_RHEL_9.x_70U2/ansible-vsphere-gos-validation/linux/setup/test_rescue.yml:52
fatal: [localhost]: FAILED! => Failed to run test case deploy_vm_efi_sata_vmxnet3",on_the_ansible_controller,"timestamp failed at play deploy vm efi sata vmxnet 3
timestamp task create un attend configuration file from template
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux deploy vm create un attend install iso yml 49
if you are using a module and expect the file to exist on the remote see the remote source option
fatal localhost failed could not find or access home worker workspace ansible rhel 9 x ansible vsphere gos validation auto install rhel 9 server with gui ks configuration on the ansible controller
if you are using a module and expect the file to exist on the remote see the remote source option
timestamp task exit testing when exit testing when fail is set true
task path home worker workspace ansible rhel 9 x ansible vsphere gos validation linux setup test rescue yml 52
fatal localhost failed failed to run test case deploy vm efi sata vmxnet 3
",deepdive,test-relevant,,deepdive.test-relevant
__Ansible_Regression_Ubuntu_20_04_Server_ISO-20_logs_failed_tasks_log.0,"2021-11-26 07:50:43,026 | Failed at Play [gosc_cloudinit_dhcp] ***********************
2021-11-26 07:50:43,026 | TASK [Assert cloud-init guest customization checks all PASS] 
task path: /home/worker/workspace/Ansible_Regression_Ubuntu_20.04.3_Server_ISO/ansible-vsphere-gos-validation/linux/guest_customization/linux_gosc_verify.yml:41
failed: [localhost] => (item=dns_suffix_success is False) => [""VM DNS domain search domains are  ['eng.vmware.com', 'vmware.com'] not expected search domains ['test.com', 'gosc.test.com']""] and dns_suffix_success is False",domain_not_expect,"timestamp failed at play go sc cloud init dhcp
timestamp task assert cloud init guest customization checks all pass
task path home worker workspace ansible regression ubuntu version id server iso ansible vsphere gos validation linux guest customization linux go sc verify yml 41
failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false
",deepdive,product-bug,[deepdive|cloudinit gosc|condition],deepdive.product-bug
__Ansible_Regression_Ubuntu_21_10_Server_ISO-23_logs_failed_tasks_log.0,"2021-12-02 14:18:30,002 | Failed at Play [gosc_cloudinit_dhcp] ***********************
2021-12-02 14:18:30,002 | TASK [Assert cloud-init guest customization checks all PASS] 
task path: /home/worker/workspace/Ansible_Regression_Ubuntu_21.10_Server_ISO/ansible-vsphere-gos-validation/linux/guest_customization/linux_gosc_verify.yml:46
failed: [localhost] => (item=dns_suffix_success is False) => [""VM DNS domain search domains are  ['eng.vmware.com', 'nimbus.eng.vmware.com', 'vmware.com'] not expected search domains ['test.com', 'gosc.test.com']""] and dns_suffix_success is False",domain_not_expect,"timestamp failed at play go sc cloud init dhcp
timestamp task assert cloud init guest customization checks all pass
task path home worker workspace ansible regression ubuntu 21 10 server iso ansible vsphere gos validation linux guest customization linux go sc verify yml 46
failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com nimbus eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false
",deepdive,product-bug,,deepdive.product-bug
__Ansible_Regression_Ubuntu_21_10_Server_OVA-4_logs_failed_tasks_log.0,"2021-11-25 09:35:44,025 | Failed at Play [gosc_cloudinit_dhcp] ***********************
2021-11-25 09:35:44,025 | TASK [Assert cloud-init guest customization checks all PASS] 
task path: /home/worker/workspace/Ansible_Regression_Ubuntu_21.10_Server_OVA/ansible-vsphere-gos-validation/linux/guest_customization/linux_gosc_verify.yml:46
failed: [localhost] => (item=dns_suffix_success is False) => [""VM DNS domain search domains are  ['eng.vmware.com', 'nimbus.eng.vmware.com', 'vmware.com'] not expected search domains ['test.com', 'gosc.test.com']""] and dns_suffix_success is False",domain_not_expect,"timestamp failed at play go sc cloud init dhcp
timestamp task assert cloud init guest customization checks all pass
task path home worker workspace ansible regression ubuntu 21 10 server ova ansible vsphere gos validation linux guest customization linux go sc verify yml 46
failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com nimbus eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false
",deepdive,product-bug,,deepdive.product-bug
__Ansible_Regression_Ubuntu_21_10_Server_OVA-3_logs_failed_tasks_log.0,"2021-11-23 10:02:50,023 | Failed at Play [gosc_cloudinit_dhcp] ***********************
2021-11-23 10:02:50,023 | TASK [Assert cloud-init guest customization checks all PASS] 
task path: /home/worker/workspace/Ansible_Regression_Ubuntu_21.10_Server_OVA/ansible-vsphere-gos-validation/linux/guest_customization/linux_gosc_verify.yml:46
failed: [localhost] => (item=dns_suffix_success is False) => [""VM DNS domain search domains are  ['eng.vmware.com', 'nimbus.eng.vmware.com', 'vmware.com'] not expected search domains ['test.com', 'gosc.test.com']""] and dns_suffix_success is False",domain_not_expect,"timestamp failed at play go sc cloud init dhcp
timestamp task assert cloud init guest customization checks all pass
task path home worker workspace ansible regression ubuntu 21 10 server ova ansible vsphere gos validation linux guest customization linux go sc verify yml 46
failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com nimbus eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false
",deepdive,product-bug,,deepdive.product-bug
__Ansible_Regression_Ubuntu_21_10_Server_OVA-5_logs_failed_tasks_log.0,"2021-12-01 12:43:43,001 | Failed at Play [gosc_cloudinit_dhcp] ***********************
2021-12-01 12:43:43,001 | TASK [Assert cloud-init guest customization checks all PASS] 
task path: /home/worker/workspace/Ansible_Regression_Ubuntu_21.10_Server_OVA/ansible-vsphere-gos-validation/linux/guest_customization/linux_gosc_verify.yml:46
failed: [localhost] => (item=dns_suffix_success is False) => [""VM DNS domain search domains are  ['eng.vmware.com', 'nimbus.eng.vmware.com', 'vmware.com'] not expected search domains ['test.com', 'gosc.test.com']""] and dns_suffix_success is False",domain_not_expect,"timestamp failed at play go sc cloud init dhcp
timestamp task assert cloud init guest customization checks all pass
task path home worker workspace ansible regression ubuntu 21 10 server ova ansible vsphere gos validation linux guest customization linux go sc verify yml 46
failed localhost item dns suffix success is false vm dns domain search domains are eng vmware com nimbus eng vmware com vmware com not expected search domains test com go sc test com and dns suffix success is false
",deepdive,product-bug,,deepdive.product-bug
